iter	Passed	Remaining
0	2	270
1	5	246
2	7	229
3	8	207
4	10	202
5	12	201
6	15	203
7	17	201
8	19	199
9	22	198
10	24	194
11	26	191
12	28	189
13	30	186
14	32	183
15	34	181
16	36	178
17	39	182
18	42	181
19	44	179
20	46	176
21	49	174
22	51	172
23	53	170
24	57	172
25	59	170
26	61	167
27	64	165
28	66	162
29	68	160
30	70	157
31	73	156
32	75	153
33	77	150
34	79	148
35	82	147
36	85	144
37	87	142
38	89	140
39	91	137
40	93	134
41	94	130
42	96	127
43	98	124
44	99	122
45	101	119
46	103	116
47	105	114
48	107	111
49	109	109
50	111	107
51	113	104
52	115	102
53	116	99
54	117	96
55	119	94
56	121	91
57	123	89
58	124	86
59	126	84
60	128	81
61	129	79
62	131	77
63	133	74
64	135	72
65	136	70
66	138	68
67	140	66
68	142	63
69	143	61
70	145	59
71	147	57
72	148	55
73	150	52
74	152	50
75	153	48
76	155	46
77	156	44
78	158	42
79	160	40
80	161	37
81	163	35
82	165	33
83	166	31
84	168	29
85	169	27
86	171	25
87	173	23
88	174	21
89	176	19
90	178	17
91	179	15
92	181	13
93	183	11
94	184	9
95	186	7
96	188	5
97	189	3
98	191	1
99	193	0
